id,match_id,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,qualifiers,is_touch,is_shot,is_goal,card_type,type_display_name,outcome_type_display_name,period_display_name,created_at
2879307533,1903251,4,0,0,167,343382,50,50,25.1,51,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""25.1""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""51.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""26.2""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""3.12""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307621,1903251,5,0,4,167,262515,26.9,47.3,75.3,26.8,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""75.3""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""26.8""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""6.02""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""52.7""},{""type"":{""value"":1,""displayName"":""Longball""}}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307629,1903251,4,0,8,170,396976,24.7,73.2,,,,,,,"[{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]",false,false,false,false,Aerial,Unsuccessful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307635,1903251,5,0,9,170,396976,26.5,71.6,,,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]",true,false,false,false,BallTouch,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307647,1903251,6,0,8,167,315227,75.3,26.8,,,,,,,"[{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""4""}]",false,false,false,false,Aerial,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307655,1903251,7,0,8,167,315227,75.3,26.8,,,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]",true,false,false,false,BallTouch,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307689,1903251,8,0,12,167,331254,86.4,25.4,,,,,,,"[{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""6""},{""type"":{""value"":286,""displayName"":""Offensive""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Center""}]",true,false,false,false,Dispossessed,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307693,1903251,6,0,12,170,321020,13.6,74.6,,,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":285,""displayName"":""Defensive""}},{""type"":{""value"":178,""displayName"":""StandingSave""}},{""type"":{""value"":233,""displayName"":""OppositeRelatedEvent""},""value"":""8""}]",true,false,false,false,Tackle,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307695,1903251,7,0,12,170,321020,20.2,71.7,,,,,,,[],false,false,false,false,BallRecovery,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307731,1903251,9,0,16,167,313171,41.7,1.7,,,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""}]",false,false,false,false,ShieldBallOpp,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307737,1903251,8,0,14,170,321020,31.1,82.7,56.6,100,,,,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""0.44""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""100.0""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""29.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""56.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Left""}]",true,false,false,false,Pass,Unsuccessful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307821,1903251,11,0,17,167,313171,41.2,0,32.8,23.1,,,,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.05""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""19.2""},{""type"":{""value"":107,""displayName"":""ThrowIn""}},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""23.1""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""32.8""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879307883,1903251,12,0,21,167,402664,34.1,19.4,35.9,5.6,,,,,"[{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.91""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""35.9""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""5.6""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""9.6""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879308091,1903251,13,0,24,167,313171,27.7,11.7,12.4,55.1,,,,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""33.6""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""55.1""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""2.07""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""12.4""},{""type"":{""value"":1,""displayName"":""Longball""}}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879308197,1903251,14,0,33,167,262515,12.8,46.9,22.8,79.9,,,,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""24.8""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""79.9""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""22.8""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""1.13""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879308263,1903251,15,0,39,167,402664,24.1,82.6,10.4,57.6,,,,,"[{""type"":{""value"":212,""displayName"":""Length""},""value"":""22.3""},{""type"":{""value"":213,""displayName"":""Angle""},""value"":""4.01""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""57.6""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""10.4""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
2879308387,1903251,16,0,43,167,262515,14.8,53.1,24.9,23.6,,,,,"[{""type"":{""value"":213,""displayName"":""Angle""},""value"":""5.20""},{""type"":{""value"":56,""displayName"":""Zone""},""value"":""Back""},{""type"":{""value"":141,""displayName"":""PassEndY""},""value"":""23.6""},{""type"":{""value"":140,""displayName"":""PassEndX""},""value"":""24.9""},{""type"":{""value"":212,""displayName"":""Length""},""value"":""22.7""}]",true,false,false,false,Pass,Successful,FirstHalf,2025-12-05 23:16:15.684766+00
