player_id,team_id,name,shirt_no,age,position,height,weight,created_at,updated_at
79583,170,Tom Cairney,10,34,Sub,185,84,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
89928,170,Benjamin Lecomte,23,34,Sub,186,78,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
92173,170,Bernd Leno,1,33,GK,189,82,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
101374,167,John Stones,5,31,Sub,188,80,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
108186,170,Raúl Jiménez,7,34,FW,190,76,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
122945,167,Nathan Aké,6,30,Sub,180,75,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
135724,170,Harrison Reed,6,30,Sub,181,72,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
136741,167,Bernardo Silva,20,31,MC,173,65,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
136824,170,Alex Iwobi,17,29,AML,180,75,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
141169,170,Timothy Castagne,21,30,Sub,185,80,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
145996,170,Kenny Tete,2,30,DR,180,71,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
231135,170,Joachim Andersen,5,29,DC,192,86,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
262515,167,Gianluigi Donnarumma,25,26,GK,196,90,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
297395,170,Sasa Lukic,20,29,DMC,183,76,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
313171,167,Rúben Dias,3,28,DC,187,76,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
315227,167,Erling Haaland,9,25,FW,195,88,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
321020,170,Sander Berge,16,27,DMC,195,96,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
322611,170,Ryan Sessegnon,30,25,DL,178,70,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
331254,167,Phil Foden,47,25,FWR,171,63,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
333044,170,Harry Wilson,8,28,AMR,173,63,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
333182,170,Jorge Cuenca,15,26,Sub,190,75,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
343382,167,Tijjani Reijnders,4,27,MC,178,73,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
355401,167,Rayan Aït-Nouri,21,24,Sub,180,70,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
363665,170,Samuel Chukwueze,19,26,Sub,172,70,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
363686,170,Emile Smith Rowe,32,25,AMC,182,79,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
386153,167,Rayan Cherki,10,22,Sub,180,71,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
388098,167,Jérémy Doku,11,23,FWL,173,66,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
394749,167,Omar Marmoush,7,26,Sub,180,81,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
394933,167,Matheus Nunes,27,27,DR,183,78,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
396976,170,Calvin Bassey,3,25,DC,185,76,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
397821,167,Savinho,26,21,Sub,179,66,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
402664,167,Josko Gvardiol,24,23,DC,185,80,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
404852,167,James Trafford,1,23,Sub,197,83,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
422939,167,Nico González,14,23,MC,189,88,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
429174,170,Kevin,22,22,Sub,176,71,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
444791,167,Rico Lewis,82,21,Sub,170,64,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
468847,167,Nico O'Reilly,33,20,DL,177,77,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
493206,167,Abdukodir Khusanov,45,21,Sub,186,84,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
515865,170,Josh King,24,18,Sub,187,74,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
547830,170,Jonah Kusi-Asare,18,18,Sub,196,84,2025-12-05 23:16:13.88604+00,2025-12-05 23:16:13.88604+00
